;;2 COLUMNAS;;;;;;;;;;;;;;;;;
NISSAN;NOTE;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;JUSTO;NO;NO;NO
MERCEDES;CLASE A;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;JUSTO;NO;NO;NO
TATA;INIDICA;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;NO;NO
FERRARI;F430;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;NO;NO
MAZDA;3;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;NO;NO
OPEL;VECTRA;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;NO;NO
NISSAN;X-TRAIL;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;JUSTO;NO;JUSTO;JUSTO
ALFA;147;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;NO;NO
LAND ROVER;FREELANDER 2;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;JUSTO;NO;JUSTO;SI
MAZDA;6;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;JUSTO;JUSTO
OPEL;ASTRA;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;NO;NO
ALFA;159;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;JUSTO;JUSTO
MICROCAR;"MICROCAR""CELES""";SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;JUSTO;JUSTO;NO;NO
VOLKSWAGEN;GOLF;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;JUSTO;JUSTO
AUDI;A3;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;SI;SI
